,Filename,Pitch,Yaw,Roll,Direction,Emotion
0,140848.jpg,-9.3406,-4.4796,0.9438,4,Anger
1,348815.jpg,-1.1321,-4.0527,-2.0857,0,Anger
2,242761.jpg,-15.7275,-9.8341,-5.5572,4,Anger
3,346197.jpg,-5.9851,7.394,9.4508,4,Anger
4,87829.jpg,-6.302,-2.3202,7.4336,4,Anger
5,375739.jpg,4.2169,-5.0413,-6.0848,1,Anger
6,159677.jpg,-5.9326,-20.1009,4.8107,3,Anger
7,166770.jpg,2.7349,1.4746,12.5321,2,Anger
8,320074.jpg,-18.9914,-26.8109,-7.4748,1,Anger
9,221945.jpg,3.3811,-3.5688,-3.0957,0,Anger
10,107126.jpg,3.6009,-26.4263,12.8848,3,Anger
11,338466.jpg,-1.1065,5.0117,-0.1255,0,Anger
12,215052.jpg,-0.5423,12.9106,-0.4006,0,Anger
13,363856.jpg,-7.1066,17.7214,-10.4494,4,Anger
14,411008.jpg,-19.2527,-0.1893,-3.8595,4,Anger
15,129770.jpg,1.7064,2.7229,0.4313,0,Anger
16,196151.jpg,-6.7808,-31.2638,-2.2661,1,Anger
17,361310.jpg,-7.3118,13.4907,-0.8797,4,Anger
18,11488.jpg,11.4341,-4.4546,6.5896,3,Anger
19,192728.jpg,-7.5477,24.3423,8.6467,2,Anger
20,385642.jpg,-2.2413,1.1246,1.0022,0,Anger
21,336877.jpg,-6.7187,-10.6197,-3.5488,0,Anger
22,198874.jpg,-12.3949,-12.8055,-1.8884,4,Anger
23,353557.jpg,-23.7228,-53.0718,-30.5721,1,Anger
24,6432.jpg,-11.1904,-10.4548,2.5025,4,Anger
25,296467.jpg,4.2435,-15.3596,-0.9039,0,Anger
26,144213.jpg,-11.9078,-15.519,-16.1056,4,Anger
27,247506.jpg,-8.446,6.5349,0.2117,0,Anger
28,337184.jpg,-2.9193,-0.856,-1.2553,0,Anger
29,82011.jpg,-7.2053,7.8989,-1.1916,0,Anger
30,66488.jpg,-9.6179,-1.3282,-4.4601,0,Anger
31,108900.jpg,-3.891,-38.0469,-3.4833,1,Anger
32,184725.jpg,-8.1612,-21.4711,-7.5934,1,Anger
33,139407.jpg,-3.8953,-9.0656,-2.5437,0,Anger
34,294095.jpg,-3.9868,-11.6449,3.812,0,Anger
35,407812.jpg,-3.7245,-1.9276,7.1888,0,Anger
36,365553.jpg,2.129,-6.954,-3.3375,0,Anger
37,220537.jpg,-12.5744,-11.3801,-0.8228,4,Anger
38,315780.jpg,-11.787,-0.4364,0.3479,4,Anger
39,46577.jpg,18.8272,20.3602,-4.9565,3,Anger
40,105762.jpg,3.9557,8.1849,-2.0144,0,Anger
41,401807.jpg,5.9972,-1.6137,0.0328,0,Anger
42,373800.jpg,-11.4925,-9.0427,-18.0883,4,Anger
43,200562.jpg,8.5858,-0.6778,-0.3957,0,Anger
44,206901.jpg,-14.6586,-3.2757,0.6956,4,Anger
45,265376.jpg,-17.5967,-5.4299,-1.3459,4,Anger
46,370579.jpg,5.7668,-14.7452,1.9431,0,Anger
47,134302.jpg,1.5738,-2.148,10.5565,3,Anger
48,258979.jpg,-2.6013,-10.8699,7.3111,3,Anger
49,226416.jpg,-3.0875,14.4167,-2.7978,2,Anger
50,138025.jpg,-17.0379,-0.6252,-3.0849,4,Anger
51,261078.jpg,-6.5045,-6.5286,6.7304,4,Anger
52,404137.jpg,-11.9475,7.9386,1.238,0,Anger
53,105405.jpg,0.4946,2.6694,-17.5958,3,Anger
54,403728.jpg,-6.0285,4.7485,-1.0578,0,Anger
55,408944.jpg,-3.1787,3.8816,-1.6834,0,Anger
56,5750.jpg,-7.7907,5.5416,-1.1903,0,Anger
57,129026.jpg,4.2759,-4.977,3.0201,0,Anger
58,109495.jpg,-12.2518,-1.4378,-1.8895,4,Anger
59,66792.jpg,5.1801,-6.1709,2.5527,0,Anger
60,267649.jpg,-10.4225,10.5965,0.9333,0,Anger
61,307740.jpg,-30.4371,-1.5394,-0.9832,4,Anger
